"Customer_id","Invoice_id","Product_Rating"
6010,"S10479600003","4/5"
8016,"INV-07577000002","1/5"
3554,"S30074300018","3/5"
7562,"S30182000022","1/5"
2461,"S23731100009","3/5"
8894,"S29210900023","3/5"
3796,"S12006800012","5/5"
8264,"S27714900006","5/5"
2930,"S30826200007","5/5"
4970,"S12607700011","4/5"
6433,"S23863900041","2/5"
8851,"S19097100021","5/5"
5397,"S12478600081","4/5"
5771,"S33899400057","1/5"
8483,"INV-00182800036","2/5"
3826,"S05478400022","4/5"
7763,"S08869900049","3/5"
8466,"S30406900012","3/5"
6814,"S23272700180","1/5"
1190,"INV-04129300029","1/5"
2987,"S06345000044","2/5"
3554,"S21051500043","2/5"
5381,"S07191800057","2/5"
4139,"S18701000135","1/5"
2575,"S17100100021","4/5"
2004,"INV-02457300028","3/5"
4870,"INV-04603600021","3/5"
9456,"S26119000052","5/5"
9965,"S07585200002","5/5"
6697,"S04032300030","1/5"
5728,"S04343600112","4/5"
7042,"S28075300022","2/5"
8846,"S26384900014","1/5"
2384,"S25498100005","2/5"
8841,"S18208100008","2/5"
8339,"S08412200012","5/5"
1484,"S09978500013","4/5"
3796,"S27039400103","1/5"
6558,"S10486200018","1/5"
1827,"INV-03039200147","5/5"
2347,"S03587900007","2/5"
4432,"S22195500021","3/5"
6428,"S23894200015","5/5"
5382,"S28466500158","4/5"
5291,"S13407200232","5/5"
6927,"S14202100008","4/5"
3304,"INV-00333000056","1/5"
2446,"INV-05139800043","4/5"
5277,"S20130600092","2/5"
6204,"INV-03751400009","3/5"
8783,"S08568800115","1/5"
6081,"S23487200029","1/5"
4381,"S05086200028","1/5"
4290,"S16347700093","2/5"
2644,"S08794700078","5/5"
3867,"S25422000048","5/5"
8096,"S30450800035","3/5"
7745,"INV-04991100083","1/5"
3772,"S05584300008","4/5"
6606,"S23505200004","4/5"
5458,"S16464200162","1/5"
2195,"INV-02787600023","5/5"
6402,"S03725300224","2/5"
3208,"S28631600093","4/5"
9043,"INV-07909800002","4/5"
1144,"S04347000040","2/5"
2077,"INV-02913800076","5/5"
9793,"S20508500001","1/5"
7264,"S08685200006","4/5"
6490,"S06305300140","1/5"
6038,"S11637000066","3/5"
7198,"INV-06783800004","1/5"
3685,"S33576100001","5/5"
2965,"INV-06181900032","3/5"
1161,"S16975700063","1/5"
9121,"S25681100004","5/5"
7178,"S08257300067","2/5"
6749,"S32754800002","5/5"
4538,"INV-08391600011","2/5"
4334,"S05042000007","2/5"
1111,"S23390000022","1/5"
8603,"S27353200051","4/5"
7771,"S31896500106","2/5"
9890,"S17714600008","2/5"
6387,"S31285600082","4/5"
1451,"INV-06309800015","4/5"
4305,"S05696200033","4/5"
1832,"INV-01141800028","4/5"
6202,"S14767700030","1/5"
8454,"S06438800066","1/5"
4152,"INV-06042400152","5/5"
6197,"INV-07435300008","5/5"
4662,"S27934600039","3/5"
2304,"S31236500003","2/5"
9409,"S27241600021","1/5"
7052,"S30808700009","5/5"
3288,"S21414100006","2/5"
3194,"S09846500029","2/5"
6064,"S15422800017","3/5"
9077,"S30502400019","5/5"
6207,"S08975400053","2/5"
9148,"S21585700019","1/5"
2553,"S17472400036","3/5"
5208,"INV-04330600005","5/5"
2717,"S26066700010","2/5"
4383,"S23673500006","3/5"
2162,"S20889800005","4/5"
9396,"S29519000039","3/5"
3220,"INV-06785000030","1/5"
6382,"S04949800028","2/5"
3306,"S06349200174","3/5"
6183,"S25752400002","2/5"
4374,"S05429700188","3/5"
7445,"S32662900035","5/5"
8211,"INV-00658800051","2/5"
2333,"INV-01872700013","2/5"
1198,"S18100100078","1/5"
1946,"S08263700010","3/5"
4013,"INV-02924100126","4/5"
5363,"S13788900158","3/5"
1677,"S25787900017","2/5"
8648,"S22239200121","4/5"
9525,"S33235700007","2/5"
3409,"S27420700137","3/5"
7887,"INV-09362900094","5/5"
3961,"INV-01362400081","4/5"
3007,"S09094200002","3/5"
8075,"S32656500048","2/5"
1101,"S31282300012","2/5"
5036,"S29573500012","1/5"
1658,"S17772100016","5/5"
6047,"S18808500006","1/5"
4577,"S18577600074","2/5"
1100,"INV-02663800107","2/5"
9716,"INV-02013200003","3/5"
5504,"S12478600047","1/5"
2339,"INV-09059900033","5/5"
6509,"INV-05517500097","1/5"
2462,"INV-00390100008","3/5"
1067,"S05286400008","3/5"
5912,"S03760800011","4/5"
9752,"S07070600101","3/5"
4758,"S28775100017","5/5"
3900,"S09956300034","5/5"
7908,"INV-07706200018","2/5"
6791,"S26297900044","4/5"
1454,"S26838700043","4/5"
8743,"S29434300128","3/5"
5181,"S07911900023","5/5"
1962,"S30315000021","5/5"
6360,"S08069900176","5/5"
6100,"S23225500183","1/5"
3121,"S24593600028","1/5"
3270,"S16588200082","4/5"
8074,"S08213900109","1/5"
4710,"S33249600023","3/5"
8114,"S20253300055","5/5"
4835,"S04456700042","2/5"
6213,"INV-00180500056","3/5"
4118,"S18443500018","2/5"
1413,"S27482900011","4/5"
7804,"S14912900014","2/5"
3193,"S24951400051","1/5"
8699,"S23813300008","2/5"
9217,"S30598500011","4/5"
9724,"S22210300070","4/5"
5509,"S27837700155","3/5"
3835,"S28456200031","2/5"
5758,"S30660900083","2/5"
6619,"S27667400077","2/5"
3247,"S20186700035","2/5"
2490,"S23730700073","1/5"
6334,"S21956600025","1/5"
7066,"S14123100055","4/5"
4980,"S32136300029","2/5"
1007,"S16973400100","3/5"
9684,"S15352500011","5/5"
4416,"S04536400009","4/5"
8163,"S09847200102","5/5"
9202,"S18322500124","5/5"
3796,"S29410800110","2/5"
5362,"S26804900055","4/5"
8849,"S29304100155","3/5"
2852,"S08248000144","1/5"
6845,"S29398400058","1/5"
5452,"S17740400129","4/5"
3776,"S08448000005","3/5"
5107,"S22725600041","4/5"
8738,"S04231800022","2/5"
6401,"S14025900078","4/5"
7189,"INV-03488800002","1/5"
5349,"S04258700006","3/5"
3370,"S28494900026","3/5"
3916,"S33154300032","4/5"
4955,"S12431300004","3/5"
9397,"S10311600056","2/5"
7907,"INV-04401800007","5/5"
2777,"S22245800040","4/5"
9270,"S34094100031","4/5"
3319,"S09896100014","1/5"
3856,"S05478100075","2/5"
3753,"S33852200050","5/5"
8511,"S09469300045","5/5"
4254,"S32275700106","2/5"
9886,"INV-01773500050","4/5"
5871,"S13544700091","4/5"
9794,"S23487200061","2/5"
4595,"S19039500028","4/5"
2562,"INV-07688700023","5/5"
6360,"S24241600023","3/5"
9630,"S16860700028","2/5"
2809,"S11130200021","4/5"
5976,"INV-03169300002","2/5"
9624,"S21439000003","3/5"
4304,"S27068500181","2/5"
4790,"S12922000052","3/5"
7589,"INV-01361400043","2/5"
5679,"INV-02913800137","1/5"
3433,"S14349300158","3/5"
4530,"S32687800006","3/5"
4870,"S31885500069","1/5"
6353,"S16150000050","4/5"
1518,"S27041000068","1/5"
9049,"S32292100097","5/5"
6417,"S18183100031","2/5"
3009,"S03511500203","1/5"
8433,"INV-06709200015","2/5"
9416,"S18091900102","4/5"
4182,"S09648100046","3/5"
1819,"S32988600049","5/5"
3247,"S31922400065","2/5"
2927,"S32270000002","2/5"
1126,"S04532900043","4/5"
2786,"S14259500061","2/5"
8877,"S24605200002","2/5"
4467,"S14489000110","5/5"
1250,"S05615800003","1/5"
2003,"S04651700013","5/5"
2176,"S26507100191","2/5"
6752,"S17496500030","1/5"
8676,"INV-08682100095","1/5"
9410,"INV-00255400082","2/5"
6364,"S04952200027","4/5"
5881,"INV-06705600045","4/5"
1784,"S10374500015","1/5"
4798,"S20761900129","1/5"
8297,"S16080200146","1/5"
3241,"S31335200014","5/5"
9021,"S31021700005","3/5"
7874,"S20801100002","2/5"
3419,"INV-06050400006","3/5"
7222,"S18209400098","3/5"
2749,"INV-01872900036","1/5"
6167,"INV-03358700055","5/5"
9768,"INV-06251200043","2/5"
1270,"INV-08260300034","4/5"
1266,"S20135900008","3/5"
4004,"S13160100061","4/5"
2019,"S26395900152","1/5"
5876,"S07338700047","3/5"
4202,"S07438800001","5/5"
3400,"S23352700123","4/5"
8627,"S11459900024","1/5"
8467,"S04355800037","4/5"
3881,"S18511000005","3/5"
4619,"S14123100016","2/5"
3349,"S05662600245","5/5"
9007,"S32625600019","1/5"
1659,"S32292100118","2/5"
1626,"S04505300104","4/5"
4622,"S29788300047","1/5"
6124,"S21725200032","5/5"
5403,"S24634900004","1/5"
4028,"S31498500021","5/5"
2941,"S06553200113","5/5"
6909,"S29938600065","3/5"
6743,"S26600400019","3/5"
5791,"S16842800018","2/5"
2763,"INV-08010400006","5/5"
8612,"S28353600018","4/5"
1926,"S06436600016","1/5"
4762,"S18105100135","4/5"
9029,"S08837500025","5/5"
9975,"S11640700004","2/5"
3456,"S18322400101","1/5"
1697,"S32295100032","3/5"
6518,"S15840500126","4/5"
4085,"S33917100107","3/5"
5211,"INV-03420900022","5/5"
4376,"INV-06054700011","5/5"
7646,"S29357300042","2/5"
4979,"S17251100091","4/5"
4011,"S05404100178","4/5"
2350,"INV-05922900009","1/5"
3433,"S30907900062","3/5"
2852,"INV-01800400019","5/5"
2093,"S08840200018","4/5"
5375,"S28161100019","5/5"
1757,"S08968300014","3/5"
4958,"INV-09059000063","2/5"
4455,"S17860400026","3/5"
1545,"S18302500037","3/5"
9686,"S04456700061","3/5"
5262,"S14098800012","1/5"
5010,"S26384900058","1/5"
7635,"INV-02662000007","3/5"
8112,"S22977500010","1/5"
8054,"S07924200025","2/5"
8155,"S31652100005","2/5"
2299,"S13277800017","3/5"
4969,"S31394000003","5/5"
9865,"S08701200001","5/5"
2862,"S28740400005","3/5"
1789,"S16215400005","1/5"
2416,"S09270100007","3/5"
3362,"S31264000002","5/5"
5044,"INV-05381500041","1/5"
1038,"S26808500047","2/5"
3715,"S33733500006","5/5"
9262,"INV-09368400043","5/5"
4977,"S05928000090","3/5"
3685,"S26491500002","4/5"
5528,"S17493700119","3/5"
6425,"S07147500063","4/5"
4046,"S13955900024","4/5"
8356,"S12378000023","1/5"
6229,"S28873900050","4/5"
4104,"INV-03682900022","2/5"
6887,"S18702400054","4/5"
7525,"INV-04665300010","3/5"
9891,"S20878700016","2/5"
2503,"INV-07821100142","1/5"
2199,"S16366000064","2/5"
9410,"S09547400029","1/5"
8839,"S29574700008","2/5"
4409,"S32752800113","4/5"
5010,"S26115500027","4/5"
1914,"INV-05521700057","2/5"
2463,"INV-06583900054","1/5"
5331,"INV-03944000059","5/5"
9061,"S09894900005","3/5"
1007,"S16829100011","2/5"
9348,"S25492000034","2/5"
3478,"S06900800009","3/5"
4284,"S11459500001","4/5"
6834,"INV-09215900179","5/5"
8368,"S13788900155","5/5"
5510,"S33050000053","4/5"
2749,"S12879400024","1/5"
4303,"S22243000060","4/5"
5899,"S14485300015","2/5"
2595,"S28389000034","4/5"
7750,"INV-02663800069","4/5"
1330,"INV-07909800012","5/5"
5217,"INV-09208400029","5/5"
8031,"S16978600016","3/5"
6664,"S21051500079","2/5"
8657,"S20431900154","1/5"
9534,"S31189700037","4/5"
3002,"S21518100058","3/5"
6509,"S11338000123","3/5"
7115,"S23054700006","3/5"
2635,"S27717700016","3/5"
1499,"S13539500012","1/5"
4233,"S17616300035","3/5"
5988,"S19207500001","5/5"
4481,"INV-05384800002","2/5"
1641,"S03915400034","3/5"
9839,"S29821700019","3/5"
7605,"S17730200051","5/5"
8594,"S06537200092","4/5"
3819,"S21281600032","2/5"
1019,"INV-02663200022","4/5"
5056,"S20723200002","5/5"
6798,"S18339800043","2/5"
5276,"S11462200023","3/5"
1795,"S31495100002","5/5"
3057,"S29224500013","1/5"
8224,"S26329700016","5/5"
7753,"INV-01861800021","5/5"
1661,"S31774200020","1/5"
1827,"INV-03542300040","5/5"
2657,"S04193900184","5/5"
7302,"S06346100019","1/5"
5996,"S12995800228","2/5"
6364,"S29152900017","3/5"
6353,"S27787400035","2/5"
5140,"S28855700008","1/5"
9713,"S19437200202","3/5"
3938,"S32391600079","4/5"
6733,"S08472500001","3/5"
8081,"S05044100004","4/5"
2673,"S08708800050","3/5"
2390,"S05945500027","5/5"
8164,"INV-06583900023","5/5"
1339,"S32501200041","5/5"
6827,"S24158600036","5/5"
6497,"INV-09215400023","5/5"
4973,"S05815600041","5/5"
8748,"S26654900025","5/5"
7387,"S24472700004","2/5"
7312,"S04308000262","4/5"
6100,"INV-04340700134","1/5"
6269,"S04690100005","4/5"
3322,"S13666400005","4/5"
3651,"INV-03488300011","4/5"
2365,"S23159700044","1/5"
4794,"S24725800050","1/5"
1232,"INV-07495800017","3/5"
1228,"INV-01497800009","1/5"
6657,"S19478400147","5/5"
8514,"S09089800005","5/5"
3803,"S10677600013","3/5"
2813,"S12819300053","5/5"
1527,"S08826800089","2/5"
1885,"S26650700146","5/5"
1175,"S25364000261","5/5"
4306,"S10692800008","5/5"
8042,"S30789300037","3/5"
5624,"S12888700032","4/5"
6291,"S31889500072","2/5"
3853,"S13767900030","4/5"
6958,"S03963600211","5/5"
6246,"S30666600129","5/5"
5247,"S11344700013","5/5"
9872,"S15591400189","2/5"
9912,"S31152800214","5/5"
6848,"S32503600141","3/5"
4305,"INV-07932700081","1/5"
5856,"INV-01642000042","2/5"
1487,"INV-03680200010","2/5"
4701,"S08257800002","3/5"
4337,"S29535500072","5/5"
8621,"S32662500003","3/5"
9283,"S09085100117","2/5"
3483,"S15301200010","5/5"
8664,"S05706100029","4/5"
6143,"S33715400038","3/5"
1618,"S30053800170","3/5"
8649,"S33224300046","1/5"
6525,"S12784700097","4/5"
6751,"S24005100024","5/5"
8610,"S23296900023","5/5"
1400,"INV-08536700004","3/5"
8450,"S31293400040","2/5"
8735,"S04032300008","4/5"
2836,"S10902700064","4/5"
1890,"S11508100159","4/5"
1146,"INV-09061300054","4/5"
5993,"S28066700011","1/5"
7684,"S32422300102","3/5"
6823,"S05276200001","4/5"
5048,"S26361900008","5/5"
5777,"S06304300029","5/5"
5570,"S33858700007","1/5"
6080,"S08206000261","1/5"
9364,"INV-07229300043","4/5"
2662,"S33162900007","3/5"
3173,"S09092700022","1/5"
8893,"S05477300079","1/5"
9123,"S10142400039","5/5"
8122,"INV-05254100013","3/5"
3133,"INV-09368100189","1/5"
6954,"S12050600074","5/5"
5258,"S22092500016","2/5"
2886,"INV-07691500012","4/5"
7665,"INV-06851800092","1/5"
9139,"S17433800054","1/5"
8624,"S32147100024","1/5"
9834,"S10939300023","5/5"
4105,"S08623300046","1/5"
6259,"S03566800006","5/5"
6400,"INV-02540800016","1/5"
3288,"S22028900025","1/5"
4121,"S04570600005","3/5"
7109,"S29406700015","4/5"
5482,"S31184000009","2/5"
9607,"S11860900026","1/5"
6456,"S29284400001","4/5"
6154,"S18325000039","5/5"
8568,"S24475800125","4/5"
3253,"S05629300014","2/5"
1031,"S26494100055","4/5"
7400,"S14558300092","4/5"
2547,"S30194500010","4/5"
8630,"INV-08910400002","2/5"
1101,"S11214800006","4/5"
9120,"S30043800092","3/5"
3822,"INV-07687700165","4/5"
5541,"S08968300026","4/5"
1037,"INV-09372300031","4/5"
8719,"S18590700113","4/5"
9817,"S30438800031","1/5"
3279,"S04347000004","2/5"
6244,"S15641500022","1/5"
5916,"S28194600114","3/5"
9311,"S04239200043","1/5"
8666,"S18458400007","3/5"
2619,"S30863200013","1/5"
1832,"INV-07694100004","5/5"
6731,"S10019100033","4/5"
4920,"S14642400127","1/5"
3300,"S21656900113","3/5"
3654,"S11223800005","1/5"
8466,"S30299900056","2/5"
9084,"S27041000129","1/5"
1096,"S10974500001","1/5"
9175,"S28885800008","1/5"
4603,"S33123700013","5/5"
8213,"INV-02164700104","3/5"
8649,"S22211900183","1/5"
3891,"S32878500132","3/5"
1355,"S14349300263","5/5"
5536,"INV-05515300051","2/5"
3625,"S09036800232","2/5"
7364,"S09610500090","3/5"
8788,"S05518300126","3/5"
6469,"INV-05914900107","5/5"
5020,"S26677500039","2/5"
7214,"S13177500007","2/5"
9247,"S25701600015","1/5"
5616,"S12131700028","4/5"
7257,"S16416200038","2/5"
8136,"S11541000029","4/5"
2909,"S28856300112","1/5"
9029,"S12394700022","2/5"
3582,"S33852900111","2/5"
1681,"S27324100023","2/5"
5565,"S13551300038","1/5"
6089,"S06233500127","5/5"
3448,"S25102400177","4/5"
3833,"S25486100012","2/5"
6042,"S25860400007","2/5"
9515,"S12558300012","1/5"
8141,"INV-07082900092","1/5"
8889,"S22659800026","2/5"
2018,"INV-04459400004","2/5"
6718,"S32253100136","1/5"
3649,"INV-08184400046","1/5"
4572,"INV-07932800005","4/5"
4906,"S10340100072","5/5"
4299,"S05853700036","5/5"
6496,"S03381400048","4/5"
6077,"INV-07228300020","3/5"
8980,"S26001400033","1/5"
8163,"S33706500011","3/5"
5511,"S06900800054","1/5"
4872,"S33383400121","4/5"
7109,"S20466500001","3/5"
4842,"INV-01646800012","1/5"
4898,"INV-04004000031","4/5"
1267,"S06262100251","4/5"
2367,"S11006800008","1/5"
7545,"S30257300005","3/5"
8386,"S06438800041","5/5"
9497,"INV-02013300011","5/5"
6619,"INV-01200100053","5/5"
8897,"S05249700056","3/5"
4610,"INV-05790100232","5/5"
7885,"S03804000008","3/5"
5876,"S12779700142","2/5"
9928,"S07963000110","5/5"
1059,"S10692800103","1/5"
7722,"INV-05251100038","1/5"
4610,"S24586400023","1/5"
9451,"INV-04066900017","5/5"
6347,"INV-02450400148","1/5"
5064,"S16981300012","5/5"
3103,"INV-07913300018","2/5"
7153,"S09495900020","3/5"
7902,"S19098300159","4/5"
8250,"S25504900004","2/5"
3471,"INV-06445400022","4/5"
4994,"S17962600137","3/5"
6788,"S06868400417","4/5"
7591,"S30051800103","2/5"
2989,"S04072500202","5/5"
5991,"S22079100001","1/5"
1917,"S11025100013","1/5"
4220,"S09131300091","5/5"
9353,"INV-01346600041","1/5"
5357,"S04505300005","3/5"
5470,"S28296600053","5/5"
4249,"INV-05319100071","1/5"
7029,"INV-04190400037","4/5"
2998,"INV-04855700027","5/5"
9857,"S23507200039","4/5"
2187,"INV-01068500070","4/5"
7188,"S32873800002","5/5"
1329,"S32186600047","4/5"
2487,"S33492200018","5/5"
4584,"S30579000116","2/5"
4272,"INV-03290900107","2/5"
4448,"S30053400009","5/5"
6863,"S30198200018","1/5"
5320,"INV-09059700023","4/5"
5119,"S31724200019","1/5"
8141,"S06113900044","1/5"
5283,"S19301100016","5/5"
8789,"INV-03939200005","1/5"
8394,"S25491500006","4/5"
8263,"S09712900011","3/5"
2641,"S24611600029","5/5"
3608,"INV-03039700034","5/5"
1561,"INV-04737000016","4/5"
9161,"S04239900015","3/5"
8334,"S13271800014","2/5"
1701,"S12784700022","2/5"
6285,"S23848700012","1/5"
1560,"S29128400016","5/5"
4639,"INV-03159500100","5/5"
6513,"S21528100058","1/5"
4640,"S04323300023","1/5"
6658,"S25147400010","1/5"
1017,"S22198800192","3/5"
5383,"S29128800064","5/5"
1580,"S30541500039","4/5"
2414,"INV-06054400001","4/5"
3028,"S17970700009","3/5"
3740,"S16734800021","3/5"
2248,"S18710600006","4/5"
4443,"S11633600072","4/5"
1078,"S28604400075","4/5"
7257,"S26508800162","4/5"
2065,"S17440000003","1/5"
8461,"S16295100039","1/5"
9205,"S33345900025","4/5"
6568,"S14753600015","4/5"
6441,"S18889600029","2/5"
4970,"S21281000162","3/5"
8666,"S29146100128","2/5"
7214,"S18453300037","2/5"
6332,"S20641600094","5/5"
9077,"S13539500001","1/5"
2098,"S24105800020","1/5"
8658,"S13359900047","3/5"
6252,"S11721400018","1/5"
7877,"S25629000011","1/5"
5539,"S16747100187","1/5"
8763,"S18950600074","1/5"
7604,"S27542000018","5/5"
2893,"INV-02731900031","3/5"
9364,"S19225700114","4/5"
8918,"S04113600035","4/5"
9109,"S10346700128","1/5"
5960,"S03870300013","4/5"
5750,"INV-02235100017","1/5"
8180,"S09471900012","1/5"
5668,"S32944400041","3/5"
7941,"S25755200011","4/5"
4348,"INV-07367700027","5/5"
2453,"S27557600012","1/5"
6933,"S06747000206","5/5"
3211,"S22198800027","1/5"
6433,"INV-05791500065","4/5"
7421,"S09602900025","4/5"
9388,"S22957600045","4/5"
8385,"S14910000042","5/5"
8090,"S06068300046","5/5"
1390,"S30043600069","3/5"
6106,"S13097000091","2/5"
5375,"S17687800001","5/5"
2077,"S20634100026","4/5"
8414,"INV-07493400005","2/5"
9430,"S27822500005","2/5"
1143,"S05465600106","1/5"
5841,"S20967800005","5/5"
8896,"INV-03808200065","1/5"
2347,"S12050600105","4/5"
9836,"INV-04724200041","1/5"
8870,"S09728000015","3/5"
2592,"S06432900069","2/5"
6651,"S25322200019","5/5"
4731,"INV-08911100021","2/5"
9726,"S15184700003","2/5"
7969,"S12643400085","2/5"
1947,"INV-06181800003","1/5"
4753,"S24105500011","2/5"
1719,"S30666600020","5/5"
1556,"S23015400297","4/5"
1127,"S24477000130","1/5"
7336,"S19478400043","4/5"
6901,"S06585100042","3/5"
7961,"S33352300031","2/5"
7989,"S11244400103","5/5"
2411,"S21314300058","4/5"
1993,"S18876600002","5/5"
6428,"S12692500017","2/5"
3264,"S05529800063","4/5"
7535,"S06585100024","4/5"
5336,"S25493500023","3/5"
5171,"S14633900029","2/5"
5937,"INV-02540000049","3/5"
1904,"S24099000032","3/5"
6817,"S25918700050","4/5"
3701,"S21964500057","3/5"
9231,"INV-02322400004","5/5"
8337,"INV-05252800003","2/5"
2829,"S14480500033","5/5"
1849,"S29541300022","3/5"
4163,"S04074800149","3/5"
5331,"INV-04067100008","2/5"
8141,"S09896100137","4/5"
9288,"S22138000035","3/5"
8041,"S17225900042","4/5"
8363,"INV-05915700222","1/5"
4636,"S28330300070","1/5"
9173,"S07030100072","5/5"
1650,"S19350400003","5/5"
7800,"S05980200125","1/5"
2667,"INV-01861600015","3/5"
6230,"S26571400073","2/5"
6856,"S30520200203","1/5"
6601,"S33475900038","2/5"
8143,"S15037500060","3/5"
8250,"S25921400008","4/5"
4924,"S16355400103","3/5"
5694,"S06982900118","5/5"
9126,"S27410300005","2/5"
4504,"INV-09216200023","4/5"
2020,"S31585800030","2/5"
2202,"S16459500022","5/5"
8958,"S03915400053","4/5"
2518,"S24346000014","1/5"
7720,"S05877400024","1/5"
9586,"S23734500004","4/5"
4864,"S21818200029","1/5"
3708,"S31825600062","4/5"
2508,"INV-04594400027","1/5"
2521,"S21620600018","4/5"
4822,"S31019200034","2/5"
4942,"S32388200036","4/5"
8839,"INV-07690000033","4/5"
7645,"S21593600069","4/5"
1018,"S24265800037","4/5"
8482,"S07208200043","1/5"
5897,"S06263500165","2/5"
8902,"INV-09215300023","4/5"
4885,"S05394200063","3/5"
6445,"S04930900011","2/5"
2573,"S13666400044","1/5"
3471,"S17677700028","1/5"
5002,"S26503600197","1/5"
4244,"S32889100012","2/5"
5350,"S09092800007","3/5"
5086,"S03886500007","5/5"
7015,"S33049800014","3/5"
9118,"INV-00069000030","3/5"
2118,"S24611600054","4/5"
7784,"S25853100019","4/5"
8806,"S08968400099","4/5"
5791,"S23612600024","1/5"
9717,"S28849500021","3/5"
4062,"S20262200024","5/5"
8474,"S04117900010","1/5"
8968,"S30626500021","4/5"
9021,"S24461800076","4/5"
1303,"S20992600008","5/5"
3929,"S28728100080","4/5"
6565,"S29991300041","1/5"
9139,"S08966200029","1/5"
8187,"INV-08684100018","2/5"
1038,"S16600900013","3/5"
3080,"S24348500024","3/5"
7899,"S29304100015","2/5"
5275,"S29929000062","1/5"
5048,"S22015100003","5/5"
1614,"INV-05924700122","5/5"
6506,"S32388500033","1/5"
5886,"S29029800043","1/5"
3306,"S28342500031","3/5"
1559,"S28199500051","1/5"
9435,"S26003400015","3/5"
7530,"S15747600007","5/5"
5789,"INV-02164700090","3/5"
2534,"S10259200003","4/5"
4330,"S18944900089","5/5"
1283,"INV-03817800025","5/5"
2248,"INV-02534200154","5/5"
5183,"INV-03293200026","1/5"
8319,"INV-05862700054","3/5"
9706,"S09424600090","2/5"
3824,"S26329700027","2/5"
4097,"INV-01064100042","4/5"
1782,"S10841000016","3/5"
6421,"S19605300023","5/5"
5720,"INV-00583600053","5/5"
3025,"S22204900032","1/5"
8272,"S32518000021","3/5"
7671,"S13653100075","4/5"
6788,"S04232900108","1/5"
3529,"INV-07228000003","4/5"
6800,"S21804500098","5/5"
1419,"INV-06113900001","2/5"
2727,"INV-08395700004","3/5"
5200,"S29278100004","5/5"
1571,"S21141200006","2/5"
6454,"S10773600007","5/5"
1910,"INV-02548400229","4/5"
9982,"INV-05245500018","5/5"
8127,"INV-02549200042","4/5"
2647,"S10572200071","4/5"
1311,"S12257500109","2/5"
1651,"S09855100010","3/5"
6872,"INV-06853600015","2/5"
7098,"S18646400035","4/5"
3766,"S16036000067","3/5"
8382,"S30522600005","4/5"
9135,"INV-08396100004","4/5"
4284,"S03924600038","3/5"
2737,"S22239200115","2/5"
6043,"S30299900049","1/5"
4937,"S30055800001","5/5"
3233,"INV-05914900141","2/5"
4895,"S24426200016","4/5"
7029,"S30058700028","1/5"
